relative_time,tess_flux,r_flux,g_flux,tess_uncert,r_uncert,g_uncert,mwebv,max_light,max_uncert
-30.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-29.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-29.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-28.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-28.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-27.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-27.0,,-28.43014663357309,-14.190308689172006,,34.3393291551169,25.7321957368457,0.3448,8.600000000000001,2.353859714502025
-26.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-26.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-25.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-25.0,,-50.122492076495355,-166.79675412546513,,54.3187067881463,84.7377780302009,0.3448,8.600000000000001,2.353859714502025
-24.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-24.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-23.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-23.0,,-89.32219655892483,62.685877037550426,,56.8219120910143,95.6380015083578,0.3448,8.600000000000001,2.353859714502025
-22.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-22.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-21.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-21.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-20.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-20.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-19.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-19.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-18.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-18.0,,317.7101694832245,2.7977208114149197,,94.0548349258129,75.8817038186427,0.3448,8.600000000000001,2.353859714502025
-17.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-17.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-16.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-16.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-15.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-15.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-14.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-14.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-13.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-13.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-12.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-12.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-11.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-11.0,,14.427862244928859,-73.207996739826,,34.0753359482045,24.5667220789467,0.3448,8.600000000000001,2.353859714502025
-10.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-10.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-9.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-9.0,,-16.043258039515127,-101.10066984235512,,34.0126883294249,37.6104126104072,0.3448,8.600000000000001,2.353859714502025
-8.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-8.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-7.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-7.0,,29.208903338618093,-15.405765228996158,,32.4630813551727,27.5829321137053,0.3448,8.600000000000001,2.353859714502025
-6.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-6.0,,,,,,,0.3448,8.600000000000001,2.353859714502025
-5.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-5.0,,112.64676633393843,61.2979840424985,,25.9846928698288,22.6285794831356,0.3448,8.600000000000001,2.353859714502025
-4.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-4.0,,,180.62015715900955,,,29.1292533462311,0.3448,8.600000000000001,2.353859714502025
-3.5,,,,,,,0.3448,8.600000000000001,2.353859714502025
-3.0,,112.80853910424317,25.539688485030215,,47.2558368860943,32.3041033354796,0.3448,8.600000000000001,2.353859714502025
-2.5,-663.1129412544302,,,525.3263462764635,,,0.3448,8.600000000000001,2.353859714502025
